Time;GeigerCounts;Ozone;Pressure;Temperature;CO2;InsideTemp;Humidity;Relative Humidity;BME-Pressure;BME-Altitude
2025/04/27_15:22:31;1;20.0;2056.0873055450124;156.75031799316406;585;26.00390625;34.81016583201334;34.81016583201334;942.8347291189052;603.4765739674401
2025/04/27_15:22:32;2;20.0;2056.038293835996;156.75174987792968;585;26.0341796875;34.97850287652011;34.97850287652011;942.7635031745107;604.1052105715639
2025/04/27_15:22:33;2;20.0;2056.013974313679;156.75171875;585;26.0494140625;34.849042081606605;34.849042081606605;942.734811292122;604.3584545486231
2025/04/27_15:22:34;3;20.0;2055.982450906951;156.74953979492187;585;26.0646484375;35.02879200273284;35.02879200273284;942.7552184295855;604.1783338103616
2025/04/27_15:22:35;4;20.0;2056.007708694162;156.83139068603515;585;26.0697265625;34.75887082209883;34.75887082209883;942.7377521687315;604.332497118765
2025/04/27_15:22:36;4;20.0;270.5195588326709;156.7529327392578;585;26.0748046875;34.75881673167351;34.75881673167351;942.7168991838455;604.5165558631793
2025/04/27_15:22:37;4;20.0;2055.978096193229;156.7489172363281;585;26.0798828125;34.353908328991054;34.353908328991054;942.7739324719674;604.0131597134399
2025/04/27_15:22:38;5;20.0;2056.0005457532206;156.7551428222656;585;26.0849609375;34.95549764862477;34.95539386439168;942.7723277415213;604.0273232997704
2025/04/27_15:23:40;1;20.0;767.531057313699;15.482887586280704;582;26.176171875;34.25155060027126;34.25155060027126;942.690629355346;604.8829608690486
2025/04/27_15:23:41;2;20.0;767.5573734979528;15.484569718521088;582;26.21171875;34.07668681082474;34.07668681082474;942.7148121231062;604.5349774735957
2025/04/27_15:23:42;4;20.0;767.5280511895003;15.492029371839017;582;26.2267578125;34.082188189096065;34.082188189096065;942.6747834306258;604.8883003557614
2025/04/27_15:23:43;5;20.0;767.5167505558344;15.483984631281347;582;26.2419921875;34.402656988155094;34.402656988155094;942.7070396937983;604.6035817399958
2025/04/27_15:23:44;5;20.0;767.5070364176038;15.483765222951769;574;26.2419921875;34.43640840276298;34.43640840276298;942.6833289651602;604.8128701198921
2025/04/27_15:23:45;6;20.0;767.5218718763903;15.485959291160107;574;26.2521484375;34.38566385318765;34.38566385318765;942.6534590719381;605.076529896411
2025/04/27_15:23:46;6;20.0;781.4761619298722;15.493126346990467;574;26.2470703125;34.402598533232606;34.402598533232606;942.6523046474806;605.0867200684314
2025/04/27_15:23:47;6;20.0;767.5315843887977;15.490420459788293;574;26.2572265625;34.54862663977925;34.54862663977925;942.7026515159532;604.6423147129425
2025/04/27_15:23:48;6;20.0;767.4750657686089;15.48808019189164;574;26.2673828125;34.19983765151864;34.19983765151864;942.6721650699361;604.9114123694749
2025/04/27_15:23:49;6;20.0;767.5517177031735;15.494954620283098;1189;26.2673828125;34.36861095015622;34.36861095015622;942.6907956731028;604.7469629884025
2025/04/27_15:23:50;8;20.0;767.6107103736165;15.496270962636919;1189;26.2724609375;34.36855206162158;34.73977358571175;942.7134289688177;604.5471860149861
2025/04/27_15:23:51;10;20.0;767.5344097556373;15.49188310785219;1189;26.2826171875;34.368434254203166;34.368434254203166;942.6891773466865;604.7612475947965
2025/04/27_15:23:52;10;20.0;767.5458856115941;15.501755592525006;1189;26.2876953125;34.34024575267938;34.34024575267938;942.725900118732;604.4371087617167
2025/04/27_15:23:53;10;20.0;767.5868616109358;15.505411896035076;1189;26.2876953125;34.345871687681345;34.345871687681345;942.6852501944554;604.6314588832909
2025/04/27_15:23:54;10;20.0;767.55454136138;15.499927405845375;1465;26.2978515625;34.33450117424603;34.33450117424603;942.7265148465999;604.4316828647127
2025/04/27_15:23:55;11;20.0;767.5866871666102;15.50095119325444;1465;26.2978515625;34.311996794193576;34.311996794193576;942.6841704927406;604.8054421038072
2025/04/27_15:23:56;12;20.0;767.5935754369731;15.501463084220886;1465;26.3029296875;34.401954861411305;34.401954861411305;942.7141186541712;604.5410984405476
2025/04/27_15:23:57;14;20.0;767.5425309773549;15.499342381190509;1465;26.2978515625;34.35700540650005;34.35700540650005;942.7231272966585;604.4615831180088
2025/04/27_15:23:58;15;20.0;782.0764958807965;15.738747066254728;1616;26.2927734375;34.205159761113066;34.205159761113066;942.7118105612593;604.5614710599012
2025/04/27_15:23:59;16;20.0;802.5991822712479;29.717787981033325;1616;26.2978515625;34.37388348369784;34.37388348369784;942.6909455863768;604.7456397383689
