Time;Acceleration;Position
2025/04/27_15:04:12;{'x': 0.584185205078125, 'y': 2.3965958618164063, 'z': 9.41639512939453};(8.7436901, 48.0753312, 779183)
2025/04/27_15:04:13;{'x': 0.7230489013671875, 'y': 2.370259643554687, 'z': 9.457096557617186};(8.743686499999999, 48.0753315, 779480)
2025/04/27_15:04:14;{'x': 0.5506663818359374, 'y': 2.389413256835937, 'z': 9.404424121093749};(8.7436905, 48.0753333, 779582)
2025/04/27_15:04:15;{'x': 0.46686932373046874, 'y': 2.3630770385742186, 'z': 9.337386474609374};(8.7436905, 48.0753333, 779582)
2025/04/27_15:04:16;{'x': 0.5770026000976562, 'y': 2.398990063476562, 'z': 9.433154541015625};(8.743698, 48.075336199999995, 780614)
2025/04/27_15:04:17;{'x': 0.5770026000976562, 'y': 2.39420166015625, 'z': 9.361328491210937};(8.743698, 48.075336199999995, 780614)
2025/04/27_15:04:18;{'x': 0.6081272216796875, 'y': 2.370259643554687, 'z': 9.320627062988281};(8.7437114, 48.0753403, 781818)
2025/04/27_15:04:19;{'x': 0.584185205078125, 'y': 2.446874096679687, 'z': 9.361328491210937};(8.7437114, 48.0753403, 781818)
2025/04/27_15:04:20;{'x': 0.6081272216796875, 'y': 2.4253262817382812, 'z': 9.354145886230468};(8.7437114, 48.0753403, 781818)
2025/04/27_15:04:21;{'x': 0.5626373901367188, 'y': 2.39420166015625, 'z': 9.394847314453125};(8.7437261, 48.0753446, 782843)
2025/04/27_15:04:22;{'x': 0.47165772705078124, 'y': 2.346317626953125, 'z': 9.428366137695312};(8.7437258, 48.075346499999995, 783510)
2025/04/27_15:04:23;{'x': 0.74699091796875, 'y': 2.3822306518554686, 'z': 9.421183532714844};(8.7437258, 48.075346499999995, 783510)
2025/04/27_15:04:24;{'x': 0.6177040283203125, 'y': 2.3535002319335936, 'z': 9.440337145996093};(8.743737, 48.0753488, 783798)
2025/04/27_15:04:25;{'x': 0.5602431884765625, 'y': 2.3965958618164063, 'z': 9.473855969238281};(8.743737, 48.0753488, 783798)
2025/04/27_15:04:26;{'x': 0.6057330200195312, 'y': 2.4133552734375, 'z': 9.490615380859374};(8.743758399999999, 48.075353299999996, 784396)
